Id,Name,English,Source,Descriptor,School,Alchemist,AntiPaladin,Bard,Cleric,Druid,Inquisitor,Summoner,Magus,Oracle,Paladin,Ranger,Witch,Wizard,Components,Range,Target,CastingTime,Summary,FrUrl,EnUrl
abundant-ammunition,Abondance de munitions,Abundant Ammunition,uc,None,Conjuration,,,1,1,,,,,,,1,,1,"Verbal, Somatic, FocusOrDivineFocus",,récipient touché,SimpleAction,Les munitions non magiques se régénèrent à chaque round.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Abondance de munitions.ashx,http://paizo.com/pathfinderRPG/prd/ultimateCombat/spells/abundantAmmunition.html
tiny-hut,Abri,Tiny Hut,,Force,Evocation,,,3,,,,,,,,,,3,"Verbal, Somatic, Material",4 Squares,sphère de 6 m (4 c) de rayon centrée sur la position du personnage,SimpleAction,Crée un abri pour dix créatures.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.sort Abri.ashx,http://paizo.com/pathfinderRPG/prd/spells/tinyHut#tiny-hut
web-shelter,Abri de toile,Web Shelter,um,None,Conjuration,,,,2,2,,2,,,,2,2,2,"Verbal, Somatic, DivineFocus",Close,"sphère de toile de 1,50 à 3 m (1 c à 2 c) de diamètre ou demi-sphère de 1,50 à 6 m (1 c à 4 c)",1 Minute,Crée un abri confortable en toile d'araignée.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Abri de toile.ashx,http://paizo.com/pathfinderRPG/prd/ultimateMagic/spells/webShelter.html#_web-shelter
energy-drain,Absorption d'énergie,Energy Drain,,None,Necromancy,,,,9,,,,,,,,,9,"Verbal, Somatic",Close,rayon d’énergie négative,SimpleAction,La cible gagne 2d4 niveaux négatifs.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.sort Absorption dénergie.ashx,http://paizo.com/pathfinderRPG/prd/spells/energyDrain#energy-drain
absorb-toxicity,Absorption de toxine,Absorb Toxicity,uc,None,Necromancy,3,,,,4,,,,,,,4,5,"Verbal, Somatic, Focus",Personal,lanceur de sorts,SimpleAction,"Le personnage est temporairement immunisé contre les maladies et les toxines, il en absorbe une et la transmet à autrui.",http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Absorption de toxine.ashx,http://paizo.com/pathfinderRPG/prd/ultimateCombat/spells/absorbToxicity.html
accelerate-poison,Accélération du poison,Accelerate Poison,apg,Poison,Transmutation,,,,,2,,,,,,2,,2,"Verbal, Somatic, Material",Touch,créature touchée,SimpleAction,Accélère le délai d'action du poison ciblé.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Accélération du poison.ashx,http://paizo.com/pathfinderRPG/prd/advanced/spells/acceleratePoison.html#_accelerate-poison
exquisite-accompaniment,Accompagnement exquis,Exquisite Accompaniment,um,Shadow,Illusion,,,3,,,,,,,,,,,"Verbal, Somatic",Personal,instrument fantomatique,SimpleAction,L'instrument maintient la représentation bardique au profit du personnage.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Accompagnement exquis.ashx,http://paizo.com/pathfinderRPG/prd/ultimateMagic/spells/exquisiteAccompaniment.html#_exquisite-accompaniment
bestow-grace-of-the-champion,Accorder la grâce du champion,Bestow Grace of the Champion,um,"Good, Lawful",Transmutation,,,,7,,,,,,4,,,,"Verbal, Somatic, DivineFocus",Touch,une créature Loyale Bonne touchée,SimpleAction,La cible gagne des pouvoirs de paladin pendant 1 round/niveau.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Accorder la grâce du champion.ashx,http://paizo.com/pathfinderRPG/prd/ultimateMagic/spells/bestowGraceOfTheChampion.html#_bestow-grace-of-the-champion
bestow-grace,Accorder la grâce,Bestow Grace,apg,None,Abjuration,,,,,,,,,,2,,,,"Verbal, Somatic, DivineFocus",Touch,une créature Bonne touchée,SimpleAction,Le sujet gagne un bonus aux jets de sauvegarde égal au modificateur de Charisme du personnage.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Accorder la grâce.ashx,http://paizo.com/pathfinderRPG/prd/advanced/spells/bestowGrace.html#_bestow-grace
forbid-action-greater,Action interdite supérieure,"Forbid Action, Greater",um,"LanguageDependent, MindAffecting",Enchantment,,,,5,,5,,,,,,,,Verbal,Close,une créature/niveau qui ne doivent pas être distantes de plus de 9 m (6 c) les unes des autres,SimpleAction,Comme  action interdite mais 1 créature/niveau.,http://www.pathfinder-fr.org/Wiki/Pathfinder-RPG.Action interdite supérieure.ashx,"http://paizo.com/pathfinderRPG/prd/ultimateMagic/spells/forbidAction.html#_forbid-action,-greater"
